gains,overshoot_m,settling_time_s,steady_state_err_m,settled,episode_duration_s,max_lateral_err_m
G1_sluggish_sp0,0.0835,2.84,0.0082,1,18.48,0.3358
G1_sluggish_sp1,0.2294,12.09,0.0167,1,19.13,1.1608
G1_sluggish_sp2,0.1704,11.71,0.0128,1,18.84,0.8249
G1_sluggish_sp3,0.0858,4.79,0.0099,1,18.52,0.3192
G1_sluggish_sp4,0.0783,5.19,0.0107,1,18.52,0.2618
G2_underdamped_sp0,0.0391,2.25,0.0106,1,14.82,0.342
G2_underdamped_sp1,0.0846,15.42,0.0353,0,15.42,1.1339
G2_underdamped_sp2,0.0633,2.83,0.0216,1,15.11,0.7802
G2_underdamped_sp3,0.0414,2.38,0.0108,1,14.82,0.2798
G2_underdamped_sp4,0.0426,2.1,0.0092,1,14.78,0.1681
G3_baseline_sp0,0.0425,2.75,0.0109,1,14.89,0.3307
G3_baseline_sp1,0.1154,15.91,0.0539,0,15.91,1.1374
G3_baseline_sp2,0.096,15.45,0.0353,0,15.45,0.7874
G3_baseline_sp3,0.051,3.15,0.0128,1,14.94,0.2931
G3_baseline_sp4,0.0505,3.19,0.0127,1,14.88,0.1974
G4_aggressive_sp0,0.0389,1.8,0.0097,1,12.43,0.3446
G4_aggressive_sp1,0.0825,13.33,0.0383,0,13.33,1.1259
G4_aggressive_sp2,0.0731,2.57,0.0244,1,12.88,0.7765
G4_aggressive_sp3,0.0436,2.14,0.0093,1,12.43,0.2915
G4_aggressive_sp4,0.0401,1.7,0.0099,1,12.37,0.1674
G5_no_integral_sp0,0.0334,2.72,0.0081,1,14.88,0.3441
G5_no_integral_sp1,0.0333,4.8,0.0075,1,15.71,1.1346
G5_no_integral_sp2,0.0337,4.45,0.0081,1,15.34,0.7874
G5_no_integral_sp3,0.0396,3.4,0.0084,1,14.92,0.2903
G5_no_integral_sp4,0.0393,3.58,0.0085,1,14.87,0.1988
